"filename", "language", "Markdown", "PowerShell", "Batch", "Python", "JSON with Comments", "YAML", "XML", "JSON", "TypeScript", "TypeScript JSX", "Log", "pip requirements", "Ini", "MS SQL", "CSS", "JavaScript", "comment", "blank", "total"
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\test_results_2.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 917, 0, 0, 0, 0, 0, 0, 0, 917
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\test_results_3.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 612, 0, 0, 0, 0, 0, 0, 34, 646
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\test_super_journey.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 311, 0, 0, 0, 0, 0, 0, 21, 332
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\uvicorn.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\uvicorn_err.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 17
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\api\README.md", "Markdown", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\api\auth.md", "Markdown", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 128
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\api\content.md", "Markdown", 275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 380
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\api\discovery.md", "Markdown", 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 315
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\api\gamification.md", "Markdown", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 125
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\api\shared_types.md", "Markdown", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 107
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\api\social.md", "Markdown", 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 466
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\api\system.md", "Markdown", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 72
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\api\users.md", "Markdown", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 126
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\architecture.md", "Markdown", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
